,0
"PRIVACY DATA OMITT THE PILOT MADE AN EMERGENCY LANDING WITHOUT INCIDENT  HE CONTACTED NORTHLAND AVIATION AND THE AIRCRAFT'S FUEL SYSTEM WAS INSPECTED AND ICE WAS FOUND IN THE FUEL FILTER  THE FUEL FILTER WAS REMOVED AND REPLACED, AND THE AIRCRAFT WAS RETURNED TO SERVICE AND THE PILOT CONTINUED TO HIS PLACE OF RESIDENCE ",1
"PILOT REPORTED AIRCRAFT ACCIDENT TO FSDO AT APPROXIMATELY 10:20 ON 08/23/20  PILOT, OWNER MR  GARY JONES STATED THE FOLLOWING DURING A PHONE CALL TO INSPECTOR CHUCK HOLSCLAW: WE WERE A FORMATION FLIGHT OF TWO GREAT LAKES 2T1-A2 AIRCRAFT LANDING AT 1M6 ELKTON, KY  I WAS IN THE LEAD AIRCRAFT AND WHEN LOOKING AT THE FIELD THERE WAS A MOWED AREA AND A NON-MOWED AREA  I LANDED ON THE MOWED AREA AND HIT AN OBSTRUCTION APPROXIMATELY HALF WAY DOWN THE RUNWAY DURING LANDING WHICH CAUSED THE AIRCRAFT TO FLIP OVER  THE SECOND AIRCRAFT HIT SOMETHING ALSO AND BROKE A WHEELPANT  PILOT ALSO STATED HE THINKS HIS AIRCRAFT IS DESTROYED ",1
"ON MAY 10, 20, A PIPER PA-38-112 SINGLE-ENGINE AIRPLANE, N007, WAS SUBSTANTIALLY DAMAGED WHEN IT IMPACTED TERRAIN AFTER TAKEOFF FROM THACKER'S AIRPORT 5F8, NEAR OIL CITY LOUISIANA  THE SOLO PRIVATE PILOT WAS SERIOUSLY INJURED  THE PILOT WAS ATTEMPTING TO TAKE-OFF ON RUNWAY 26  ACCORDING TO A WITNESS, WHO OBSERVED THE AIRPLANE ON TAKEOFF, STATED THAT THE AIRPLANE LEFT THE GROUND JUST BEFORE THE SHEDS APPROXIMATELY 2,300 FEET FROM THE TAKE OFF END OF THE RUNWAY AND NEVER GOT HIGHER THAN THE TREE LINE ON THE NORTH SIDE OF THE RUNWAY APPROXIMATELY 20 TO 30 FEET  BOTH WITNESSES STATED THAT THEY HEARD A ""CHUGGING"" NOISE COMING FROM THE AIRPLANE'S ENGINE  AS THE PILOT WAS ATTEMPTING TO CLIMB, THE AIRCRAFT MADE A ""SLIGHT"" DESCENT WHEN ABEAM THE SHEDS, AND THEN THE NOSE PITCHED UP AGAIN  THE AIRPLANE THEN WENT INTO A STEEP LEFT TURN AND NOSED DOWN STALL/SPIN AND IMPACTED TERRAIN AT A NOSE-LOW ATTITUDE AND LEFT BANK, BEFORE COMING TO REST ADJACENT TO THE RUNWAY, FACING 180 DEGREES FROM THE TAKE OFF HEADING  THE AIRPLANE CAME TO REST APPROXIMATELY 2,800 FEET FROM THE TAKE OFF END OF THE RUNWAY THE RUNWAY IS 50 X 2,900 FEET, TURF  THE GRASS WAS 8-10 INCHES LONG AT THE TIME OF THE ACCIDENT  INVESTIGATION REVEALED THAT FOUR OF THE EIGHT 8 SPARK PLUGS WERE OIL WET AND WERE LEAD FOULED  THE FOULED PLUGS SHOULD HAVE BEEN DETECTED ON THE ENGINE RUN UP AND MAGNETO CHECK PRIOR TO TAKE OFF  THE ENGINE maintenance RECORDS INDICATE THAT THE FOUR BOTTOM PLUGS HAD A HISTORY OF FOULING  WITH THE FOUR FOULED OUT SPARK PLUGS IT WAS NOT POSSIBLE FOR THE ENGINE TO DEVELOP FULL POWER AND WOULD CAUSE THE ""CHUGGING"" NOISE THAT THE WITNESSES HEARD  EVIDENCE FOUND DURING THE INVESTIGATION SUPPORTS WHAT THE WITNESSES STATED  THAT THE AIRPLANE ENTERED A STALL/SPIN  THE PILOT TOOK OFF ON RUNWAY 26 WITH A LEFT QUARTERING TAIL WIND WITH TREES 60 FOOT TALL AT THE DEPARTURE END  A TAKE OFF ON RUNWAY 08 WOULD HAVE BEEN WITH A RIGHT QUARTERING HEAD WIND AND LOW TREES APPROXIMATELY 20 TO 30 FEET TALL ON THE DEPARTURE END ",1
AIRCRAFT IMPACTED TREES/TERRAIN SHORTLY AFTER DEPARTURE FROM RUNWAY 32  THE AIRCRAFT WAS DESTROYED AND NO POST FIRE OCCURRED  THERE WAS FUEL SPILLAGE AT THE IMPACT SITE AND FUEL IN THE FUEL LINES  VISUAL METEOROLOGICAL CONDITIONS EXISTED AT THE TIME OF OCCURRENCE  THE LEFT FRONT ENGINE COWL LATCH WAS FOUND ON THE RIGHT SIDE OF THE DEPARTURE END OF THE RUNWAY ALONG WITH SOME COCKPIT CANOPY PLEXIGLASS FRAGMENTS LOCATED ON BOTH SIDES OF THE RUNWAY END ,1
"ON JUNE 30, 20 AT APPROXIMATELY 1155Z, WHILE TAXIING TO PARKING THE PILOT TURNED OFF HIS TAXI LIGHT TO FOLLOW THE COMPANY MARSHALLER  THE AIRCRAFT 4FA'S LEFT WING TIP STRUCK AN UNOCCUPIED AIRCRAFT, VHDTG  NO INJURY TO THE PILOT AND MINIMAL DAMAGE TO BOTH AIRCRAFT  VMC CONDITIONS EXISTED AT THE GUAM AIRPORT  INCIDENT INVESTIGATION CLOSED ",1
"PILOT DEPARTED WINNIE, TX AIRPORT WITH TOW BAR ATTACHED TO NOSE GEAR  MINOR DAMAGE TO NOSE GEAR DOORS ON LANDING AT HOBBY AIRPORT, HOUSTON, TX ",1
"DELTA AIRLINES FLIGHT 3, AIRCRAFT N3738B, A B-737-800, WAS ENROUTE TO ATLANTA FROM KANSAS CITY  AT APPROXIMATELY 12:10L THE MCI TOWER CLEARED FLIGHT 3 INTO POSITION AND HOLD FOR TAKEOFF ON RUNWAY 1R  THE PILOT STARTED TO MAKE THE 90 DEGREE LEFT TURN ONTO RUNWAY 1R WHEN AT ABOUT 30 DEGREES INTO THE LEFT TURN THE AIRCRAFT STARTED TO SKID AND CONTINUED STRAIGHT AHEAD AND DEPARTED THE EAST EDGE OF RUNWAY 1R  THE AIRCRAFT STOPPED WITH THE NOSE WHEEL APPROXIMATELY 15-20 FEET INTO THE GRASSY AREA WITH THE NOSE TIRES TURNED FOR THE LEFT TURN ONTO THE RUNWAY  BOTH MAIN LANDING GEARS REMAINED ON THE EAST EDGE OF THE RUNWAY  THERE WERE NO INJURIES AND THE PASSENGERS WERE DEPLANED  THE AIRCRAFT WAS TOWED FROM THE GRASS AND TAKEN TO THE AMERICAN AIRLINES maintenance BASE AT MCI WHERE DELTA PERSONNEL PERFORMED AN INSPECTION ON THE AIRCRAFT  THE INSPECTION FOUND NO DAMAGE TO THE AIRCRAFT ALTHOUGH BOTH NOSE TIRES WERE CHANGED DUE TO THE MUD  INCIDENT PRIVACY DATA  IS CONSIDERED CLOSED WITH THE FILING OF THIS REPORT  SLID OFF TAXIWAY ",1
"ON 3/6/ AT APPROXIMATELY 0932 E, A CHAUTAUQUA AIRLINES, FLIGHT912, N971RP, RETURNED TO ROC DUE TO A LANDING GEAR MALFUNCTION  THE AIRCRAFT LANDED AND TAXIED TO THE GATE WITHOUT ANY FURTHER EVENT  maintenance INSPECTED THE AIRCRAFT AND RETURNED IT TO SERVICE  IT WAS DETERMINED THAT THE GEAR PINS WERE STILL IN PLACE PRIOR TO THE AIRCRAFT'S DEPARTURE FROM ROCHESTER, NY  THIS INCIDENT IS CONSIDERED CLOSED  INJURY SUMMARY NOT KNOWN BY ASI ",1
"ON MARCH 3, 20, AT APPROXIMATELY 15 PST, 26, A HOT AIR BALLOON EXECUTED A FORCED LANDING INTO A RESIDENTIAL AREA IN NORTH SAN DIEGO, CA  ACCORDING TO THE PILOT A STRONG SMELL OF PROPANE WAS NOTICED  THEN ICING WAS NOTICED ON THE NUMBER 2 VALVE OF ONE OF THE TANKS  IMMEDIATELY A PRECAUTIONARY LANDING WAS INITIATED  THERE WAS NO DAMAGE TO THE BALLOON AND NO INJURIES TO THE OCCUPANTS  EXAMINATION OF THE INCIDENT DISCLOSED THAT THE AIR RELIEF VALVE WAS OPEN SLIGHTLY CAUSING THE ICING AND THE ODOR  THIS INCIDENT IS NOT RELATED TO A NMAC OR PILOT DEVIATION ",1
"ON JANUARY 8, 20, ABOUT 27 CENTRAL STANDARD TIME, A BEECH E-90, 8TA, OPERATED BY TIDEWATER AERO, SUSTAINED SUBSTANTIAL DAMAGE WHEN THE CABIN DOOR OPENED IN-FLIGHT AND IMPACTED THE EMPENNAGE DURING CLIMBOUT NEAR GALESBURG, ILLINOIS  THE NON-SCHEDULED DOMESTIC PASSENGER FLIGHT WAS OPERATING UNDER  CFR PART 135  VISUAL METEOROLOGICAL CONDITIONS PREVAILED AT THE TIME OF THE ACCIDENT  AN IFR FLIGHT PLAN WAS ON FILE  THE AIRLINE TRANSPORT PILOT AND HIS SIX PASSENGERS REPORTED NO INJURIES  THE FLIGHT ORIGINATED AT THE GALESBURG MUNICIPAL AIRPORT GBG, NEAR GALESBURG, ILLINOIS, ABOUT 20, AND WAS DESTINED FOR MOUNTAIN EMPIRE AIRPORT, NEAR MARION, VIRGINIA  AT 25, THE GBG RECORDED WEATHER WAS: WIND 030 DEGREES AT 5 KNOTS; VISIBILITY 10 STATUTE MILES; SKY CONDITION OVERCAST 7,500 FEET; TEMPERATURE 1 DEGREE C; DEW POINT -7 DEGREES C; ALTIMETER 30 15 INCHES OF MERCURY ",1
"AMERICAN AIRLINES FLIGHT 53, AIRCRAFT 97AA, AN MD-82, LANDED AT MCI FROM LGA  WHILE TAXIING, DUE TO A HEAVY LAYER OF ICE ON THE RUNWAY, THE CAPTAIN WAS UNABLE TO MAKE A LEFT TURN TO STAY ON THE TAXIWAY CENTERLINE NOR WAS HE ABLE TO STOP THE AIRCRAFT AFTER THE AIRCRAFT DEVIATED FROM THE CENTERLINE OF THE TAXIWAY  THE NOSE OF THE AIRCRAFT SLID OFF THE TAXIWAY AT THE INTERSECTION OF C8 AND D TAXIWAY  THERE WERE NO INJURIES AND THE PASSENGERS WERE DEPLANED  THE AIRCRAFT WAS TOWED FROM THE MUD AND TAKEN TO THE GATE WHERE AN INSPECTION WAS COMPLETED ON THE AIRCRAFT  THERE WAS NO SIGNIFICANT DAMAGE TO THE AIRCRAFT BUT THE TWO NOSE TIRES WERE REPLACED  INCIDENT PRIVACY DATA  IS CONSIDERED CLOSED WITH THE FILING OF THIS REPORT ",1
"PILOT AND PASSENGERS STATED THE AIRCRAFT TAKE OFF WAS NORMAL, HOWEVER, DURING CLIMB OUT THE AIRCRAFT HAD A LOSS OF ENGINE POWER AT APPROXIMATELY 500-600 FEET  PILOT TURNED AIRCRAFT TO LAND ON A GRASS STRIP, PICKED UP A 10-15 MPH TAIL WIND, INCREASING THE DESCENT RATE AND RESULTING IN AN ACCIDENT  ONE PASSENGER WAS EJECTED FROM THE AIRCRAFT CAUSING AN INJURY TO HER BACK  SHE STATED HER SEAT BELT WAS ROUTED THROUGH THE LEG STRAP OF HER CONTAINER SYSTEM, BUT HAS NO MEMORY OF THE ACCIDENT  PILOT STATED HE DID NOT SUMP THE FUEL TANKS BEFORE THE FLIGHT, BECAUSE HE HAD SUMPED THEM THE NIGHT BEFORE  ON-SITE INVESTIGATION DISCOVERED WATER IN THE FUEL STRAINER, AND CARBURETOR BOWL ",1
"AFTER NORMAL TOUCHDOWN THE AIRCRAFT STARTED SLIDING OR HYDROPLANING TOWARD LEFT SIDE OF RUNWAY, AIRCRAFT STRUCK RUNWAY LIGHTS WITH WING FLAP, CAME TO A STOP WITH AIRCRAFT LEFT WING APPROXIMATELY THIRTY FEET OFF THE RUNWAY EDGE  PILOT REPORTED ONE INCH OF SLUSH AND THREE INCHES OF SNOW ",1
"THE PILOT STATED WHILE GOING THROUGH THE START PROCEDURE THE STARTER WOULD NOT ENGAGE  HE REMEMBERED THAT THERE IS A MICRO SWITCH ON THE ROTOR BRAKE THAT PREVENTS THE STARTER FROM ENGAGING WHEN THE ROTOR BRAKE IS NOT IN THE FULLY STOWED POSITION  EUROCOPTER HAS STATED THAT SOMETIMES THE MICRO SWITCH STICKS EVEN THOUGH THE ROTOR BRAKE HANDLE IS FULLY STOWED  USUALLY A LIGHT TAP ON THE SWITCH CURES THE PROBLEM  HE EXITED THE HELICOPTER, OPENED THE RIGHT TRANSMISSION COWLING WHERE THE MICRO SWITCH IS LOCATED AND TAPPED ON THE SWITCH  HE CLOSED THE COWLING WITHOUT LATCHING IT AND ENGAGED THE STARTER BUTTON TO SEE IF THAT FIXED IT  THE STARTER WORKED SO HE JUMPED IN AND COMPLETED THE START PROCEDURE  WHEN THEY WERE APPROXIMATELY 6 MILES NORTH WEST OF SAN LOUIS OBISPO AIRPORT SBP, HE HEARD A ""THUNK""  HE LOOKED IN THE MIRROR AND NOTICED WHAT WAS LEFT OF THE COWLING FLAPPING IN THE BREEZE  THE PILOT INITIATED AN ""EMERGENCY"" LANDING TO A HILLTOP AND SHUT THE AIRCRAFT DOWN TO INSPECT THE DAMAGE ",1
"AIRCRAFT LOST POWER DURING TAKEOFF AT APPROXIMATELY 500 FEET AGL  PILOT WAS ABLE TO MAKE A 180 DEGREE TURN AND MADE A HARD LANDING IN THE GRASS ABEAM THE RUNWAY  THE PILOT AND PASSENGER WERE NOT INJURED, HOWEVER THE AIRCRAFT SUSTAINED SUBSTANTIAL DAMAGE  THE FUEL SELECTOR HAD BEEN TURNED OFF DURING maintenance OF THE AIRCRAFT FUEL SYSTEM AND HAD NOT BEEN RETURNED TO THE ON POSITION ",1
"ON JUNE 9, 20, AT 2208 MDT, A CESSNA 172, NL, REGISTERED TO CIVIL AIR PATROL, OPERATING AS A PUBLIC USE AIRCRAFT, COLLIDED WITH TERRAIN WHILE PERFORMING A GO-AROUND FROM RUNWAY 22 AT LAS CRUCES INTERNATIONAL AIRPORT, LAS CRUCES, NEW MEXICO  VISUAL METEOROLOGICAL CONDITIONS PREVAILED AT THE TIME AND A VFR FLIGHT PLAN WAS NOT FILED  THE AIRCRAFT WAS SUBSTANTIALLY DAMAGED AND THE CERTIFICATED PILOT RECEIVED SERIOUS INJURIES AND THE PASSENGER RECEIVED MINOR INJURIES  THE FLIGHT ORIGINATED AT LAS CRUCES INTERNATIONAL AIRPORT ON 06/09/20 AT 2200, ENROUTE ALBUQUERQUE, NEW MEXICO  THE AIRCRAFT WAS ATTEMPTING TO RETURN TO LAS CRUCES INTERNATIONAL AIRPORT ",1
"OWNER/PILOT WAS TEST FLYING THE AIRCRAFT BECAUSE OF AN OIL PRESSURE PROBLEM  PILOT TOOK OFF FROM HIS BACK YARD STRIP, ENTERED INTO A RIGHT CLIMBING TURN, BUT THE AIRCRAFT CONTINUED TO ROLL OVER AND PLUMMETED INTO THE GROUND INVERTED FROM ABOUT 300 FEET  THE AIRSPEED INDICATOR WAS SLAPPED AT 165 KNOTS  THE OWNER HAD RECENTLY PURCHASED THIS AIRCRAFT, IT DIDN'T HAVE AN AIRWORTHINESS OR REGISTRATION CERTIFICATE ",1
"ACCORDING TO EYEWITNESSES, THE NONCERTIFICATED PILOT WAS DOING HAMMERHEAD STALLS IN AN UNREGISTERED HOMEBUILT AIRCRAFT NEAR COOPER AIRFIELD, MOHAWK, TN, WHEN THE UPPER FABRIC SEPARATED FROM THE RIGHT WING  THE PILOT HAD KNOWLEDGE OF BROKEN RIBS IN THE RIGHT WING AND CHOSE TO FLY THE AIRCRAFT IN THE KNOWN UNAIRWORTHY CONDITION  THE DAMAGE TO THE RIGHT WING CAUSED THE AIRCRAFT TO DIP TO THE RIGHT THEN PITCH DOWN  THE AIRCRAFT DID NOT HAVE SHOULDER RESTRAINTS AND THE PILOT IMPACTED THE INSTRUMENT PANEL CAUSING IMMEDIATE DEATH  EXAMINATION OF THE WRECKAGE REVEALED THAT THE AIRCRAFT WAS ASSEMBLED WITH NO RIB STITCHING, WHICH LIKELY CAUSED THE FABRIC TO SEPARATE FROM THE RIBS, LEADING TO THE TEAR AND SEPARATION FROM THE WING ",1
"AIRCRAFT BATTERY FAILED TO START THE AIRCRAFT  PILOT ATTEMPTED TO CHARGE BATTERY UNSUCCESSFULLY  PILOT THEN JUMP STARTED THE AIRCRAFT SUCCESSFULLY AND FAILED TO REMOVE THE TOW BAR AFTER ENGINE START  PILOT WAS INFORMED BY THE DVT TOWER AFTER TAKEOFF THAT THE TOW BAR WAS ATTACHED TO THE NOSE GEAR  AIRCRAFT RETURNED AND LANDED AT DVT  UPON LANDING, THE TOW BAR STRUCK THE PROPELLER CAUSING A NICK IN THE PROPELLER  AN ATTEMPT WAS MADE TO REPAIR THE PROPELLER, BUT THE PROPELLER WAS FOUND TO BE OUT OF LIMITS AFTER THE REPAIR ",1
"PILOT DEPARTED FREDERICKSBURG SHANNON AIRPORT EZF WITH THE AIRCRAFT TOW BAR ATTACHED  IMMEDIATELY AFTER DEPARTURE, THE PILOT WAS INFORMED OVER THE COMMON FREQUENCY THAT SOMETHING WAS ""DANGLING"" FROM THE AIRCRAFT  THE PILOT REMAINED IN THE PATTERN AND ATTEMPTED A SHORT FIELD LANDING  THE AIRCRAFT LANDED SHORT OF THE RUNWAY  THERE WERE NO INJURIES, HOWEVER, THE AIRCRAFT WAS DAMAGED SUBSTANTIALLY ",1
"DECEASED PASSENGERS: FRONT LEFT SEAT PRIVACY DATA OMITTED REAR LEFT SEAT PRIVACY DATA OMITTED                                                       AT APPROXIMATELY 01:59 THE PILOT OF 41MG RECEIVED A WEATHER BRIEFING FROM THE ANDERSON FLIGHT SERVICE STATION IN ANDERSON, S C  REQUESTING WEATHER INFORMATION FOR A FLIGHT FROM GREENVILLE, S C  TO TALLAHASSEE, FL  THE BRIEFER INDICATED THE WEATHER CURRENTLY TO THE IFR SOUTH OF MACON GEORGIA WITH MARGINAL CONDITIONS IN NORTHERN GEORGIA  THE BRIEFER ADDED THAT AT APPROXIMATELY 00 LOCAL THE WEATHER WOULD BE IFR SOUTH OF ATLANTA, GEORGIA  THE BRIEFER CONCLUDED BY SAYING ""VFR NOT RECOMMENDED""  AT APPROXIMATELY 0301 HRS LOCAL A DUATS REPORT WAS PRINTED WHICH INDICATED SIMILAR WEATHER ALONG THE ROUTE BETWEEN GREENVILLE, S C  AND TALLAHASSEE, FL  THIS REPORT WAS FOUND AT THE HOME BASE OF THE HELICOPTER INVOLVED  AT APPROXIMATELY 25 HRS LOCAL, THE PILOT DEPARTED GREENVILLE, S C  AS THE PILOT CONTINUED TO FLY A ROUTE FROM GREENVILLE, S C TO TALLAHASSEE, FL , HE BEGAN TO ENCOUNTER LOWER CEILINGS AND RESTRICTED VISIBILITY  AT APPROXIMATELY 0555 HRS LOCAL, OVER B                                                                      ARNESVILLE, GEORGIA APPROXIMATELY 30 MILES SOUTH OF ATLANTA, THE HELICOPTER ENCOUNTERED FOG AND NEAR ZERO VISIBILITY  THE AIRCRAFT ATTEMPTED TO TURN FROM A SOUTHERN HEADING TO A NORTHERN HEADING  IN DOING SO, THE AIRCRAFT DESCENDED AND CRASHED  THE AIRCRAFT STRUCK TREES AS IT DESCENDED BEFORE STRIKING THE GROUND AT THE BASE OF A TREE  THE AIRCRAFT BURNED AFTER IMPACT  THE PILOT WAS EJECTED APPROXIMATELY 50 FEET FROM THE WRECKAGE  THE TWO PASSENGERS REMAINED IN THE AIRCRAFT  ALL PERSONNEL ABOARD WERE FATALLY INJURED ",1
"THE PILOT REQUESTED A LONG LANDING ON 13L AT DALLAS LOVEFIELD AND THE REQUEST WAS APPROVED  N3217Q LANDED RUNWAY 13L AND AS THE AIRCRAFT EXITED THE RUNWAY TO THE LEFT, THE LEFT MAIN BRAKE MALFUNCTIONED  THE AIRCRAFT WENT INTO THE GRASS AT THE END AND TO THE LEFT OF THE RUNWAY  THE AIRCRAFT THEN TAXIED BACK ONTO THE TAXIWAY AND TO PARKING  THE PILOT REPORTED NO DAMAGE TO THE AIRCRAFT OR TO HIMSELF AND NO DAMAGE TO THE AIRPORT ",1
"ON MAY 31, 2003, APPROXIMATELY 1030 CENTRAL DAYLIGHT TIME, AN AEROTEK PITTS S-2A SINGLE-ENGINE AEROBATIC BI-PLANE, N97DW, SUSTAINED SUBSTANTIAL DAMAGE FOLLOWING A PARTIAL IN-FLIGHT BREAKUP WHILE MANEUVERING NEAR GRAND PRAIRIE MUNICIPAL AIRPORT GPM, GRAND PRAIRIE, TEXAS  THE COMMERCIAL PILOT AND HIS PASSENGER WERE NOT INJURED  THE AIRPLANE WAS REGISTERED TO AND OPERATED BY THE PILOT  VISUAL METEOROLOGICAL CONDITIONS PREVAILED, AND A FLIGHT PLAN WAS NOT FILED FOR THE  CODE OF FEDERAL REGULATIONS PART 91 PERSONAL FLIGHT  THE LOCAL FLIGHT DEPARTED GPM AT 1020  IN AN INTERVIEW WITH THE NTSB INVESTIGATOR-IN-CHARGE, THE PILOT STATED THAT APPROXIMATELY 5 MINUTES INTO THE FLIGHT, HE WAS PERFORMING A POWER-ON STALL  DURING THE STALL, THE AIRPLANE BROKE TO THE LEFT, AND THEN THE AIRPLANE ENTERED AN INVERTED SPIN  DURING THE RECOVERY FROM THE SPIN, AN OUTBOARD SECTION OF THE BOTTOM LEFT WING SEPARATED  SUBSEQUENTLY, THE PILOT RETURNED TO GPM AND LANDED UNEVENTFULLY  IN AN INTERVIEW WITH AN FAA INSPECTOR, THE PILOT STATED THAT DURING THE SPIN, THE AIRCRAFT PERFORMED APPROXIMATELY TWO ROTATIONS  TO RECOVER THE AIRPLANE, THE PILOT REDUCED POWER, AND THE AIRPLANE ENTERED A NOSE LOW ATTITUDE  THE PILOT ""PULLED HARD"" TO RECOVER FROM THE NOSE LOW ATTITUDE, AND THE AIRPLANE AGAIN BROKE TO THE LEFT  DURING THE RECOVERY FROM THE ENSUING DIVE, THE AIRPLANE WAS SHUDDERING AND A SECTION OF THE LOWER LEFT WING SEPARATED  THE PILOT STATED THAT AFTER THE FLIGHT, THE 'G' METER READ +7 2/-2, AND THE FLIGHT LASTED A TOTAL OF 10 MINUTES  THE FAA INSPECTOR REPORTED THE AIRPLANE HAS A +6/-3 'G' LIMIT LOAD FACTOR, AND A +9/ 5 'G' ULTIMATE LOAD FACTOR  IN ADDITION, THE PILOT REPORTED APPROXIMATELY 30 DAYS PRIOR TO THE ACCIDENT FLIGHT, DURING A LOW ALTITUDE PASS OVER SOME OF HIS PROPERTY, THE AIRPLANE IMPACTED THE TOPS OF SOME TREES  THE PILOT REPAIRED THE AIRPLANE FABRIC DAMAGE WITH DUCT TAPE AND DID NOT REPORT WHAT ADDITIONAL INSPECTIONS AND/OR REPAIRS HAD BEEN COMPLETED  HE ALSO HAD NOT RECEIVED ANY FORMAL AEROBATIC INSTRUCTION AND WAS LEARNING AEROBATICS ON HIS OWN  EXAMINATION OF THE AIRPLANE BY THE PILOT REVEALED THAT A-FOOT PORTION OF THE BOTTOM LEFT WING AND THE LEFT AILERON HAD SEPARATED FROM THE AIRCRAFT  ACCORDING TO AN FAA AIRWORTHINESS INSPECTOR WHO EXAMINED THE AIRPLANE, THE FORWARD WOODEN WING SPAR WAS SPLINTERED AND FRACTURED, AND THE AILERON WAS SEPARATED  THE SEPARATED SECTION AND AILERON WERE NOT RECOVERED  NUMEROUS ATTEMPTS TO OBTAIN A COMPLETED NTSB PILOT/OPERATOR AIRCRAFT ACCIDENT REPORT NTSB FORM 6120 1/2 FROM THE PILOT WERE UNSUCCESSFUL ",1
"PRIVACY DATA OMITTED ON 6/17/2003 N01P HAD A RIGHT MAIN GEAR FAILURE WHILE LANDING AT FOX FIELD LANCASTER, CA  THE PILOT MR  DOUGLAS SPARK A CANADIAN CERTIFICATED PILOT HAD PURCHASED N01P FROM A PRIVACY DATA OMITT AT AGUA DULCE AIRPORT  THE RADIOS WERE NOT WORKING IN N01P SO PRIVACY DATA  FLEW HIS CESSNA 150 AS THE LEAD/RADIO SHIP IN A FLIGHT OF TWO WITH MR  SPARK TO FOX FIELD TO HAVE THE RADIOS FIXED BEFORE MR  SPARK WOULD FERRY N01P TO CANADA  UPON INSPECTION OF N01P IT WAS NOTED THAT AN EIGHT INCH LONG SECTION OF CONDUIT HAD BEEN INSTALLED WITH RADIATOR HOSE CLAMPS ON THE RIGHT DOWN LOCK TO STIFF LEG THE RIGHT GEAR  THIS SOFT CONDUIT FAILED ON LANDING RESULTING IN THE GEAR FAILURE ON ROLLOUT ",1
NR2 FIRE WARNING ON CLIMBOUT  SHUT ENGINE DOWN AND RETURNED  FOUND BIRD NEST BEING BUILT IN ENGINE INTAKE  NO FIRE ,1
TAKEOFF WAS ABORTED DUE TO SEVERE VIBRATION AND LOSS OF NOSEWHEEL STEERING  THE NOSE LANDING GEAR TORQUE LINK WAS FOUND TO BE DISCONNECTED ,1
"DURING TAXI OUT, CFI NOTICED NOSE LANDING GEAR GREEN LIGHT WAS OUT  SHE ATTEMPTED TO SWAP LIGHTS TO VERIFY THE CONDITION OF THE NOSE LIGHT HOWEVER COULD NOT REMOVE THE LIGHT FROM THE PANEL  STUDENT HAD ACCOMPLISHED THE ENGINE RUNUP AND WAS BEGINNING THE TAKE OFF RUN  CFI STATED THAT SHE ASSUMED IT WAS AN INDICATION PROBLEM AS THE NOSE GEAR HELD DURING THE TAXI AND DECIDED TO CONTINUE WITH THE INSTRUCTIONAL FLIGHT  SHORTLY AFTER TAKEOFF, AT ABOUT 500 FEET AGL, THE CABIN DOOR POPPED OPEN AND THE CFI DECIDED TO IMMEDIATELY RETURN FOR LANDING AS THE AIRPLANE WAS NOT HOLDING ALTITUDE  CFI SELECTED GEAR DOWN, AGAIN NO NOSE GEAR GREEN LIGHT BUT DIDN'T HAVE TIME TO TROUBLE SHOOT AT THIS POINT  UPON TOUCHDOWN, NOSE GEAR COLLAPSED ",1
